wave length	n	k	Energy	WL	-delta	beta		WL			Energy		Energy	beta	Energy	beta		Energy	delta	beta
0.14450379	0.99999958	1.6038112E-8	85799.9551430451	1.4450379E-5	4.20000000000975E-7	1.6038112E-8		7.061260752E-4	7.09126113475487E-4	1.6102131219359E-4	1755.83375765983		85799.9551430451	1.6038112E-8	1755.83375765983	1.6102131219359E-4		10.04717	-0.27706	0.98406
0.14501082	0.99999957	1.6246661E-8	85499.955796402	1.4501082E-5	4.30000000051223E-7	1.6246661E-8		7.185120768E-4	7.38674657108086E-4	1.70887971543211E-4	1725.56598564329		85499.955796402	1.6246661E-8	1725.56598564329	1.70887971543211E-4		10.04818	-0.277	0.984
0.14535082	0.99999957	1.6388132E-8	85299.9570281062	1.4535082E-5	4.30000000051223E-7	1.6388132E-8		7.308980784E-4	7.68284489767131E-4	1.80525727301358E-4	1696.32406574952		85299.9570281062	1.6388132E-8	1696.32406574952	1.80525727301358E-4		10.04919	-0.27694	0.98394
0.14586382	0.99999957	1.6602529E-8	84999.958865742	1.4586382E-5	4.30000000051223E-7	1.6602529E-8		7.4328408E-4	7.98729660736012E-4	1.91430576263689E-4	1668.05671392827		84999.958865742	1.6602529E-8	1668.05671392827	1.91430576263689E-4		10.0502	-0.27687	0.98387
0.14603563	0.99999957	1.6676969E-8	84899.9569488624	1.4603563E-5	4.30000000051223E-7	1.6676969E-8		7.556700816E-4	8.28682625526719E-4	2.03247667582025E-4	1640.7160084661		84899.9569488624	1.6676969E-8	1640.7160084661	2.03247667582025E-4		10.05121	-0.27681	0.98381
0.14620784	0.99999957	1.6751714E-8	84799.9580597046	1.4620784E-5	4.30000000051223E-7	1.6751714E-8		7.680560832E-4	8.58450738247247E-4	2.14506720004253E-4	1614.25711887389		84799.9580597046	1.6751714E-8	1614.25711887389	2.14506720004253E-4		10.05222	-0.27675	0.98375
0.14646692	0.99999957	1.6864379E-8	84649.9585025752	1.4646692E-5	4.30000000051223E-7	1.6864379E-8		7.804420848E-4	8.89102817045026E-4	2.26111297575851E-4	1588.63806059066		84649.9585025752	1.6864379E-8	1588.63806059066	2.26111297575851E-4		10.05323	-0.27668	0.98368
0.14672692	0.99999956	1.6977796E-8	84499.9588350931	1.4672692E-5	4.39999999990448E-7	1.6977796E-8		7.928280864E-4	9.20826850743362E-4	2.38462641785981E-4	1563.81947268007		84499.9588350931	1.6977796E-8	1563.81947268007	2.38462641785981E-4		10.05424	-0.27662	0.98362
0.14690077	0.99999956	1.7049776E-8	84399.9571955954	1.4690077E-5	4.39999999990448E-7	1.7049776E-8		8.05214088E-4	9.52845409583442E-4	2.5283830051635E-4	1539.76441604435		84399.9571955954	1.7049776E-8	1539.76441604435	2.5283830051635E-4		10.05525	-0.27656	0.98356
0.14707503	0.99999956	1.7122108E-8	84299.9569675424	1.4707503E-5	4.39999999990448E-7	1.7122108E-8		8.176000896E-4	9.83678518364067E-4	2.68414611163256E-4	1516.43818997938		84299.9569675424	1.7122108E-8	1516.43818997938	2.68414611163256E-4		10.05626	-0.2765	0.9835
0.1473372	0.99999956	1.7231102E-8	84149.9546618234	1.473372E-5	4.39999999990448E-7	1.7231102E-8		8.299860912E-4	0.00101310162062006	2.84636794961308E-4	1493.80816515543		84149.9546618234	1.7231102E-8	1493.80816515543	2.84636794961308E-4		10.05727	-0.27643	0.98343
0.1476003	0.99999956	1.7340767E-8	83999.9559621491	1.476003E-5	4.39999999990448E-7	1.7340767E-8		8.423720928E-4	0.00104211489753224	2.98052825293521E-4	1471.84363133261		83999.9559621491	1.7340767E-8	1471.84363133261	2.98052825293521E-4		10.05828	-0.27637	0.98337
