energy_ev,selected_grazing_angle_deg,selected_efficiency,precise_fwhm_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
4590.000000,0.577393,0.62583127,0.06097280,0,0,not_needed,0,0,bragg,auto_sparse,4510.000000,0.599561,0,0,0,voigt,voigt,0,0.57739272,0.05654951
4600.000000,0.574402,0.62513965,0.05987887,0,0,not_needed,0,0,bragg,auto_sparse,4520.000000,0.596656,0,0,0,voigt,voigt,0,0.57440226,0.05954785
4610.000000,0.571664,0.62386642,0.06193896,0,0,not_needed,0,0,bragg,auto_sparse,4530.000000,0.593415,0,0,0,voigt,voigt,0,0.57166404,0.05631981
4620.000000,0.569247,0.62222037,0.06024077,0,0,not_needed,0,0,bragg,auto_sparse,4540.000000,0.591055,0,0,0,voigt,voigt,0,0.56924715,0.05521910
4630.000000,0.566257,0.62144225,0.06081812,0,0,not_needed,0,0,bragg,auto_sparse,4550.000000,0.588232,0,0,0,voigt,voigt,0,0.56625727,0.05615120
4640.000000,0.563197,0.62095837,0.06085853,0,0,not_needed,0,0,bragg,auto_sparse,4560.000000,0.585023,0,0,0,voigt,voigt,0,0.56319703,0.05626779
4650.000000,0.561428,0.61864299,0.05766688,0,0,not_needed,0,0,bragg,auto_sparse,4570.000000,0.582754,0,0,0,voigt,voigt,0,0.56142825,0.05618002
4660.000000,0.559107,0.61700207,0.05890342,0,0,not_needed,0,0,bragg,auto_sparse,4580.000000,0.580155,0,0,0,voigt,voigt,0,0.55910742,0.05431649
4670.000000,0.556559,0.61556559,0.05688533,0,0,not_needed,0,0,bragg,auto_sparse,4590.000000,0.577393,0,0,0,voigt,voigt,0,0.55655890,0.05538468
4680.000000,0.554058,0.61381142,0.05777612,0,0,not_needed,0,0,bragg,auto_sparse,4600.000000,0.574402,0,0,0,voigt,voigt,0,0.55405831,0.05375013
4690.000000,0.550676,0.61280508,0.05801463,0,0,not_needed,0,0,bragg,auto_sparse,4610.000000,0.571664,0,0,0,voigt,voigt,0,0.55067597,0.05477523
4700.000000,0.548072,0.61056986,0.05931065,0,0,not_needed,0,0,bragg,auto_sparse,4620.000000,0.569247,0,0,0,voigt,voigt,0,0.54807173,0.05496551
4710.000000,0.546159,0.60759970,0.05541031,0,0,not_needed,0,0,bragg,auto_sparse,4630.000000,0.566257,0,0,0,voigt,voigt,0,0.54615926,0.05458199
4720.000000,0.543765,0.60513527,0.05478166,0,0,not_needed,0,0,bragg,auto_sparse,4640.000000,0.563197,0,0,0,voigt,voigt,0,0.54376518,0.05368800
4730.000000,0.541303,0.60289772,0.05677284,0,0,not_needed,0,0,bragg,auto_sparse,4650.000000,0.561428,0,0,0,voigt,voigt,0,0.54130306,0.05266177
4740.000000,0.538596,0.60116773,0.05756981,0,0,not_needed,0,0,bragg,auto_sparse,4660.000000,0.559107,0,0,0,voigt,voigt,0,0.53859617,0.05304324
4750.000000,0.536568,0.59859383,0.05585874,0,0,not_needed,0,0,bragg,auto_sparse,4670.000000,0.556559,0,0,0,voigt,voigt,0,0.53656847,0.05192090
