energy_ev,selected_grazing_angle_deg,order,efficiency,diffraction_angle_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
510.0,13.87004182949011,7,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,8,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,9,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,10,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,11,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,12,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,13,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,14,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
510.0,13.87004182949011,15,0.0,0.0,0,0,not_needed,0,0,tracked_previous,auto_dense,500.0,14.184143802091643,1,0,0,voigt,voigt,0,13.87004182949011,0.2790608950581516
520.0,13.576636682600693,-15,1.0864835515035514e-08,27.597413208862868,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-14,4.1880551781462425e-09,26.881109553882418,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-13,4.4045941361217275e-09,26.14668620620904,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-12,3.022121510829376e-08,25.392563578013608,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-11,1.23982252050456e-08,24.61692371799326,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-10,1.475506131029527e-08,23.81765675424633,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-9,1.0398127345727618e-07,22.992290807194536,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-8,5.180076050791902e-08,22.137898675700043,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-7,8.969826696163957e-08,21.250971136138702,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-6,7.657365398291166e-07,20.327240983667735,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-5,3.952446112450991e-07,19.361432176553635,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-4,2.459031080170133e-06,18.34689100370052,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-3,7.850483377888111e-05,17.27502344192034,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-2,0.0026406062480080236,16.134397510021174,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
520.0,13.576636682600693,-1,2.114306557067931e-05,14.909228928044897,0,0,not_needed,0,0,tracked_previous,auto_dense,510.0,13.87004182949011,1,0,0,voigt,voigt,0,13.576636682600693,0.28014385323280633
